,ids,kw
0,1,"['blog', 'sina', '领域', '学习', 'com', 'supervised', 'cn', '监督', '数据挖掘', '627a4f560100xmj1', 'html', 'learning', '笔记', 'machine', '机器']"
1,2,"['发挥', '巨大作用', '惊喜', '产品', '重要性', '深度', '学习', '带来', '搭建', '战略', '社会', '业务', '研发', '设备', '诞生', '机器']"
2,3,"['用于', '正确', '分类', '数据', '训练', '介绍', '学习', '人在江湖', '人工神经网络', '人士', '步骤', '人工智能', '人员', '人工', '分类器', '机器']"
3,4,"['背景', '上方', '实习', '知识', '介绍', '学习', '方向', '时间', '面试', '数据挖掘', '机器', '岗位']"
4,5,"['内容', '人数', '介绍', '学习', '人在江湖', '人工神经网络', '课程', '人才', '人民邮电出版社', '大规模', '人工智能', '人员', 'Note15', '笔记', '人工', '机器']"
5,6,"['这篇', '算是', '入门', '概要', '学习', '实践', '进一步', '面对', '做个', '目的', '机器', '内核']"
6,7,"['辨析', '目标', '不同点', '深度', '各个方面', '学习', 'vs', '逐一', '研究', '介绍', '未来', '初学者', '概念', '区别', '机器', '趋势']"
7,8,"['评估器', 'transformer', '案例', '泰坦尼克号', '转换器', '管道', '学习', '快速', '典型', '框架', '覆盖', '流程', '机器', '简介', 'pipeline', 'estinator', 'sklearn']"
8,9,"['逻辑', 'blog', '称为', 'logis', '分类', '参数估计', 'article', 'net', '学习', 'linkin1005', '机器', '常见', 'details', '回归']"
9,10,"['定义', '拟合', '不佳', '学习', '原因', '算法', '输出', '监督', '输入', '机器']"
10,11,"['人机', '人数', '人标', '学习', '基础', '实战', '人工神经网络', '人在江湖', '人海茫茫', '人才', '人士', '人工智能', '笔记', '人工', '机器']"
11,12,"['分类', '评论', '目录', '学习', '举报', '机器', '收藏', '两个', '阅读', '线性', '最为', '解决', '区别', '回归']"
12,13,"['节日', '纪念', '理解', '打开', '学习', '思维', '振奋人心', '这长', '地方', '特征', '一张', '机器', '工程']"
13,14,"['article', '梅隆', '卡内基', 'www', 'ICML2013', '机器', '感想', '国际', '参会', '会议', 'imls', '数据', '代表', '学习', '时代', '水平', '大会', '学会', 'icml', '摘要', '热点']"
14,15,"['目标', '分析', '中心', '学习', '交叉', '最优化', '基础知识', '机器']"
15,16,"['人员', '人标', '学习', 'knn', '算法', '实战', '人在江湖', '亿美元', '人工神经网络', '仅为', '人士', '人工智能', 'KNN', '人工', '机器']"
16,17,"['分析', 'week', '数据', 'coursera', '人力', '学习', 'Week', 'andrew', '课程', 'ng', 'Coursera', '偏斜', 'Ng', '误差', 'Andrew', '笔记', 'by', '机器']"
17,18,"['人机', '人数', '人标', '学习', '人在江湖', 'rere', '人工神经网络', '龙心', '人海茫茫', '人士', '人才', '人民邮电出版社', '人工智能', '人员', '人工', '机器', '人物']"
18,19,"['前言', '拿到', '学习', '算法', '新手', '目的', '点儿', '实话实说', '人上', '工程师', '希望', '工作', '班来', '机器', '该学']"
19,20,"['经典', '方法', 'machinelearning', '中有', '常用', '学习', '在我看来', '色彩', '思维', '宗旨', '希望', '牛人', '一张', '机器']"
20,21,"['方法', '精确', '下降', '最佳', '等高线', '学习', '算法', '利用', '靠近', '分为', '地方', '数值', '遍历', '速度', '梯度', '机器']"
21,22,"['from', 'numpy', '学习', 'classifier', 'regression', 'np', 'plot', '机器', 'logistic', 'sklearn', 'plt', 'naive', 'pyplot', 'bayes', 'matplotlib', 'as', '分类器', '贝叶斯']"
22,23,"['人机', '误差', '机器', 'error', '亚洲', '系统', '人才', 'Coursera', '人民邮电出版社', 'Learning', '设计', '分析', '人数', '学习', '人工神经网络', '人海茫茫', '交互', 'Machine', 'Week6', '内容', 'analysis', '亟待解决', '人标']"
23,24,"['第十一', '向量', 'support', '聚类', 'tutorial', '异常', '检测', 'svm', 'machines', '设计', '包括']"
24,25,"['方法', '人机', '本文', '评估', '介绍', '学习', '选择', '文章', '周志华', '模型', '情形', '人士', '系列', '人工', '机器']"
25,26,"['炙手可热', '开发者', '工具', '既有', '这项', '环境', '学习', '抽象', '框架', '十三个', '强有力', '大众', '最难', '廉价', '爆炸式', '机器']"
26,27,"['类别', '灾难', '困难', '代表', '维度', '增高', '计算机科学', '发生', '听到', '数值', '变得', '含有']"
27,28,"['分类', '非线性', '人机', '正则', '评估', '人数', '人标', '学习', '指标', '模型', '机器', '多元', '知识点', '线性', '回归']"
28,29,"['人工', '人标', '学习', '人在江湖', '算法', '实战', '亿美元', '亿个', '人工神经网络', '人士', '人工智能', '人员', '近邻', '人造', '机器']"
29,30,"['增大', '目标', 'bound', '上限', '给与', '学习', '差距', 'effective', '有个', '一章', '机器', 'break']"
30,31,"['one', 'Linear', 'from', '学习', '斯坦福大学', 'andren', 'ng', 'with', 'regresstion', '视频', '牛人', 'linear', 'varible', '机器']"
31,32,"['背景', '逻辑', '本文', '回归', '理论依据', '学习', '玩转', '快速', '建模', '分钟', '行业', 'svm', '数据挖掘', 'sklearn', '神经网络', '机器', '数学']"
32,33,"['这章', '归纳', '知识', '候选', 'mitchell', '概念学习', '一个个', '计算机程序', 'tom', '消除', '度量', '某类', '上以', '希望', 'ML', '偏置', '解决', '相关']"
33,34,"['学习', '试图', 'x1', '模型', '取值', '机器', 'lr', '线性', '形式', '预测', 'x2', '回归', '示例']"
34,35,"['方法', '拟合', '分类', '评论', '斯坦福', '学习', '课程', 'logistic', '牛顿', '阅读', '笔记', '机器', '指数分布']"
35,36,"['数十个', '方式', '某种程度', '系统', '学习', '百度', '模型', '推荐', '大规模', '见过', '往下', '在生活中', '工作', '广告', '淘宝', '机器']"
36,37,"['讲述', 'from', '理论', '入门', '之美', '语言', '书单', '吴军', '学习', '通俗', '算法', 'wenku', '汇总', '经典', '包括', '机器', '书目']"
37,38,"['http', '人机', 'machinelearning', '人数', '人标', '学习', 'special', 'com', 'open', '人工神经网络', 'opencourse', '人才', '163', '人生', 'html', '人民邮电出版社', '机器']"
38,39,"['段时间', '过程', '公开课', '好像', '课件', '讲得', '学习', '斯坦福大学', '百度', 'thu', '小弟', '视频', '讲座', '机器']"
39,40,"['知识', '补充', '学习', '基础', '打通', '思路', '估计', '事件', '发生', '强求', '强化', '相关', '机器', '数学']"
40,41,"['昨天', '人机', '年代', '世纪', '领域', '人数', '深度', '学习', '人工神经网络', '龙心', '人才', '机器', '人民邮电出版社', '人士', '人工', '明天', '人工智能', '学科']"
41,42,"['artificial', 'learn', '领域', 'from', '最佳', 'oschina', '从零开始', '学习', '资源', '此文', '链接', 'net', '想要', '初学者', '机器', 'to', 'how', '人工智能']"
42,43,"['地址', '专栏', 'recall', 'score', 'deepdreaming', '常用', '学习', '相关', '几个', '可转', 'f1', '标题', 'Learning', 'Machine', '笔记', 'machine']"
43,44,"['知己', '训练', '标识', '能力', '学习', '利用', '赋予', '预测', '功能', '机器']"
44,45,"['方法', '人机', '人数', '人标', '学习', '人在江湖', '统计', '人工神经网络', '类型', '龙心', '人海茫茫', '人才', '人士', '最优化', '概率', '人工智能', '人工', '机器']"
45,46,"['freely', '积累', '老板', 'pdf', 'machi', '资源', '专家', '学习', 'tutorials', 'autonlab', '浅显易懂', '阅读', 'org', 'good', '机器', 'cmu']"
46,47,"['用于', '信息', '分成', '学习', '聚类', '概述', '划分', '一堆', '一句', '预测', '机器']"
47,48,"['排序', '人标', '学习', '人在江湖', '算法', '人工神经网络', '人口', '人士', '人才', '人工智能', '历史', '人员', '常见', '人工', '机器']"
48,49,"['安装', '环境', '场景', '学习', '搭建', '操作', 'exsi6', '摘要', '显卡', '机器']"
49,50,"['wuren', '定制', 'oracle', '库大', '学习', '算法', 'com', 'www', 'clementine', '开源', 'sas', '一段时间', 'archive', '机器']"
50,51,"['samuel', '目录', '兼容', '快捷键', 'arthur', 'lea', 'learning', '损益', '系列', '笔记', 'machine', '回归']"
51,52,"['人机', '人数', '人标', '学习', '坚持下去', '人工神经网络', '努力', '龙心', '人才', '人海茫茫', '好好', '人工智能', '好好学习', '人工', '小白', '机器']"
52,53,"['节省时间', '精力', '学习', '开发', '简单', '实测', '算法', '爬虫', '发送', '步骤', '应用程序', '网络', 'api', '笔记', '输入', '机器']"
53,54,"['一步步', '学习者', '安装', '第一步', '环境', '医疗', '学习', '搭建', '开发', '数据分析', '模型', 'python', 'hi', '菜鸟', '笔记', '相关', '机器']"
54,55,"['amazon', '架构师', '工具', '图谱', '数据', '技能', 'mahout', '平台', '资源', '通用', 'google', 'learning', '分布式', 'hdfs', 'machine', 'mlibtensorflow', 'mesos', '存储']"
55,56,"['拟合', '解决', 'learn', '秘密武器', '走马观花', '损失', '学习', '算法', '思路', '给出', '一览', '建议', '定位', '系列', '机器']"
